Defining Site,Latitude,Longitude,Elevation,Land Use,Location Setting,State Name,County Name,County Code,City Name,CBSA Name
06-039-0003,36.966614,-120.03988400000001,273.0,AGRICULTURAL,RURAL,California,Madera,39,Madera,"Madera, CA"
06-039-0004,36.867125,-120.010158,0.0,AGRICULTURAL,RURAL,California,Madera,39,Madera,"Madera, CA"
06-039-0500,37.2136,-119.69906499999999,632.5,COMMERCIAL,RURAL,California,Madera,39,Not in a City,"Madera, CA"
06-039-2010,36.953256,-120.034203,83.52,COMMERCIAL,SUBURBAN,California,Madera,39,Madera,"Madera, CA"
06-041-0001,37.97231,-122.520004,3.0,COMMERCIAL,URBAN AND CENTER CITY,California,Marin,41,San Rafael,"San Francisco-Oakland-Hayward, CA"
06-041-0002,38.122979,-122.90943999999999,76.0,FOREST,RURAL,California,Marin,41,Point Reyes National Seashore,"San Francisco-Oakland-Hayward, CA"
06-041-0003,38.126834,-122.914957,960.0,FOREST,RURAL,California,Marin,41,Not in a City,"San Francisco-Oakland-Hayward, CA"
06-041-0004,37.832725,-122.527658,6.0,FOREST,RURAL,California,Marin,41,Not in a City,"San Francisco-Oakland-Hayward, CA"
06-041-2001,38.015136,-122.689531,75.0,RESIDENTIAL,RURAL,California,Marin,41,Lagunitas-Forest Knolls,"San Francisco-Oakland-Hayward, CA"
06-041-6001,37.92736,-122.58843999999999,762.0,RESIDENTIAL,SUBURBAN,California,Marin,41,Not in a City,"San Francisco-Oakland-Hayward, CA"
06-041-6002,38.30836,-122.89743999999999,23.0,RESIDENTIAL,SUBURBAN,California,Marin,41,Not in a City,"San Francisco-Oakland-Hayward, CA"
06-043-0001,37.745759,-119.60375400000001,1524.0,,,California,Mariposa,43,Not in a City,
06-043-0003,37.71325,-119.7062,1599.0,FOREST,RURAL,California,Mariposa,43,Not in a City,
06-043-0004,37.542436,-119.659602,1280.0,FOREST,RURAL,California,Mariposa,43,Yosemite National Park,
06-043-0005,37.750203000000006,-119.587943,1219.0,COMMERCIAL,SUBURBAN,California,Mariposa,43,Yosemite National Park,
06-043-0006,37.54377,-119.83957,0.0,FOREST,RURAL,California,Mariposa,43,Not in a City,
06-043-0033,37.74306,-119.59388999999999,1219.2,FOREST,RURAL,California,Mariposa,43,Yosemite National Park,
06-043-1001,37.748707,-119.587094,1216.0,,,California,Mariposa,43,Yosemite Valley,
06-043-1002,37.7481,-119.5917,1219.0,FOREST,RURAL,California,Mariposa,43,Yosemite National Park,
06-043-1003,37.8375,-119.45,2487.0,FOREST,RURAL,California,Mariposa,43,Not in a City,
06-043-1004,37.7478,-119.5917,1234.0,FOREST,RURAL,California,Mariposa,43,Yosemite National Park,
06-043-1005,37.730717,-119.571554,1728.0,FOREST,RURAL,California,Mariposa,43,Yosemite National Park,
06-045-0001,39.435168,-123.80946000000002,35.0,COMMERCIAL,URBAN AND CENTER CITY,California,Mendocino,45,Fort Bragg,"Ukiah, CA"
06-045-0002,39.445723,-123.803905,14.0,COMMERCIAL,URBAN AND CENTER CITY,California,Mendocino,45,Fort Bragg,"Ukiah, CA"
06-045-0003,39.15098,-123.19636899999999,218.0,COMMERCIAL,URBAN AND CENTER CITY,California,Mendocino,45,Ukiah,"Ukiah, CA"
06-045-0004,39.148226,-123.207783,198.0,COMMERCIAL,URBAN AND CENTER CITY,California,Mendocino,45,Ukiah,"Ukiah, CA"
06-045-0005,39.159337,-123.21445,198.0,MOBILE,SUBURBAN,California,Mendocino,45,Ukiah,"Ukiah, CA"
06-045-0006,39.15047,-123.20655,0.0,COMMERCIAL,SUBURBAN,California,Mendocino,45,Ukiah,"Ukiah, CA"
06-045-0007,39.15906,-123.20111599999998,596.0,MOBILE,SUBURBAN,California,Mendocino,45,Ukiah,"Ukiah, CA"
06-045-0008,39.14566,-123.20298000000001,194.0,MOBILE,SUBURBAN,California,Mendocino,45,Ukiah,"Ukiah, CA"
06-045-0009,39.402941999999996,-123.35028799999999,1377.0,MOBILE,SUBURBAN,California,Mendocino,45,Willits,"Ukiah, CA"
06-045-0010,39.43734,-123.78766,48.5,RESIDENTIAL,SUBURBAN,California,Mendocino,45,Fort Bragg,"Ukiah, CA"
06-045-1001,39.2332,-123.20164799999999,211.0,INDUSTRIAL,SUBURBAN,California,Mendocino,45,Not in a City,"Ukiah, CA"
06-045-1002,39.149035999999995,-123.20803500000001,205.0,COMMERCIAL,URBAN AND CENTER CITY,California,Mendocino,45,Ukiah,"Ukiah, CA"
06-045-2001,39.412942,-123.35362099999999,420.0,,,California,Mendocino,45,Willits,"Ukiah, CA"
06-045-2002,39.41174,-123.35264,424.0,COMMERCIAL,URBAN AND CENTER CITY,California,Mendocino,45,Willits,"Ukiah, CA"
06-047-0001,37.060778000000006,-120.84963700000002,41.0,COMMERCIAL,URBAN AND CENTER CITY,California,Merced,47,Los Banos,"Merced, CA"
06-047-0002,37.099945,-120.816305,35.0,AGRICULTURAL,RURAL,California,Merced,47,Los Banos,"Merced, CA"
06-047-0003,37.281853000000005,-120.43367099999999,86.0,AGRICULTURAL,RURAL,California,Merced,47,Not in a City,"Merced, CA"
06-047-0004,37.302163,-120.48157900000001,51.0,AGRICULTURAL,URBAN AND CENTER CITY,California,Merced,47,Merced,"Merced, CA"
06-047-0100,37.192443,-120.5388,10.0,AGRICULTURAL,RURAL,California,Merced,47,Not in a city,"Merced, CA"
06-047-1001,37.306329999999996,-120.493246,51.0,COMMERCIAL,SUBURBAN,California,Merced,47,Merced,"Merced, CA"
06-047-1002,37.299941,-120.501024,82.0,RESIDENTIAL,SUBURBAN,California,Merced,47,Merced,"Merced, CA"
06-047-1003,37.299941,-120.501024,82.0,COMMERCIAL,SUBURBAN,California,Merced,47,Merced,"Merced, CA"
06-047-2001,37.101039,-120.82927,35.0,AGRICULTURAL,RURAL,California,Merced,47,Not in a City,"Merced, CA"
06-047-2510,37.30832,-120.480456,58.0,COMMERCIAL,URBAN AND CENTER CITY,California,Merced,47,Merced,"Merced, CA"
06-049-0001,41.483225,-120.54023400000001,1334.0,COMMERCIAL,URBAN AND CENTER CITY,California,Modoc,49,Alturas,
06-049-0002,41.494336,-120.544123,1335.0,COMMERCIAL,SUBURBAN,California,Modoc,49,Alturas,
06-049-0003,41.480725,-120.539956,0.0,RESIDENTIAL,SUBURBAN,California,Modoc,49,Alturas,
06-049-1001,41.549894,-120.167723,1417.0,AGRICULTURAL,RURAL,California,Modoc,49,Cedarville,
06-051-0001,37.64571,-118.96651999999999,2395.0,COMMERCIAL,URBAN AND CENTER CITY,California,Mono,51,Mammoth Lakes,
06-051-0002,38.04159,-119.142651,2072.0,UNKNOWN,UNKNOWN,California,Mono,51,Lee Vining,
06-051-0003,37.647991,-118.974301,2408.0,UNKNOWN,UNKNOWN,California,Mono,51,Mammoth Lakes,
06-051-0004,38.099921,-119.017645,1948.0,UNKNOWN,RURAL,California,Mono,51,Mono Village,
06-051-0005,37.962069,-119.120278,2067.0,,SUBURBAN,California,Mono,51,Not in a City,
06-051-0006,37.647713,-118.974301,2408.0,UNKNOWN,UNKNOWN,California,Mono,51,Mammoth Lakes,
06-051-0007,38.091428,-118.997957,1948.0,,RURAL,California,Mono,51,Not in a City,
06-051-0008,38.148534000000005,-118.86514,2103.0,DESERT,RURAL,California,Mono,51,Bodie,
06-051-0009,38.030481,-118.90180600000001,1930.0,DESERT,RURAL,California,Mono,51,Mono Village,
06-051-0010,37.646878,-118.9218,0.0,DESERT,RURAL,California,Mono,51,Not in a City,
06-051-0011,38.069711,-118.94773799999999,1957.0,DESERT,RURAL,California,Mono,51,Not in a City,
06-051-0012,37.669444,-118.414722,1403.0,AGRICULTURAL,RURAL,California,Mono,51,Not in a City,
06-051-1001,37.647713,-118.974301,2231.0,UNKNOWN,UNKNOWN,California,Mono,51,Mammoth Lakes,
06-051-1002,37.638268,-118.92091599999999,0.0,COMMERCIAL,RURAL,California,Mono,51,Mammoth Lakes,
06-051-9000,38.088023,-119.178069,2561.0,FOREST,RURAL,California,Mono,51,Not in a City,
06-053-0001,36.521905,-121.80606100000001,41.0,MOBILE,SUBURBAN,California,Monterey,53,Carmel Valley,"Salinas, CA"
06-053-0002,36.48187,-121.73333000000001,131.0,RESIDENTIAL,SUBURBAN,California,Monterey,53,Carmel Valley Village,"Salinas, CA"
06-053-0004,36.699652,-121.634626,25.0,COMMERCIAL,SUBURBAN,California,Monterey,53,Salinas,"Salinas, CA"
06-053-0005,36.227466,-121.116584,116.0,INDUSTRIAL,RURAL,California,Monterey,53,King City,"Salinas, CA"
06-053-0006,36.574682,-121.806339,73.0,COMMERCIAL,RURAL,California,Monterey,53,Monterey,"Salinas, CA"
06-053-0007,36.8044,-121.786895,10.0,COMMERCIAL,RURAL,California,Monterey,53,Moss Landing,"Salinas, CA"
06-053-0008,36.209286,-121.12637099999999,6.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Monterey,53,King City,"Salinas, CA"
06-053-1001,36.596071,-121.90162099999999,23.0,COMMERCIAL,URBAN AND CENTER CITY,California,Monterey,53,Monterey,"Salinas, CA"
06-053-1002,36.697181,-121.633556,36.0,RESIDENTIAL,SUBURBAN,California,Monterey,53,Salinas,"Salinas, CA"
06-053-1003,36.694261,-121.623271,21.6,RESIDENTIAL,URBAN AND CENTER CITY,California,Monterey,53,Salinas,"Salinas, CA"
06-053-2001,36.51163,-121.441603,47.0,RESIDENTIAL,SUBURBAN,California,Monterey,53,Gonzales,"Salinas, CA"
06-053-3001,36.674375,-121.644626,23.0,COMMERCIAL,SUBURBAN,California,Monterey,53,Salinas,"Salinas, CA"
06-055-0001,38.296836,-122.290498,8.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Napa,55,Napa,"Napa, CA"
06-055-0002,38.335446999999995,-122.3205,23.0,RESIDENTIAL,RURAL,California,Napa,55,Napa,"Napa, CA"
06-055-0003,38.310942,-122.29618899999998,13.0,COMMERCIAL,URBAN AND CENTER CITY,California,Napa,55,Napa,"Napa, CA"
06-055-0004,38.278849,-122.275024,10.0,RESIDENTIAL,SUBURBAN,California,Napa,55,Napa,"Napa, CA"
06-055-0101,38.566553000000006,-122.45106299999999,0.0,INDUSTRIAL,URBAN AND CENTER CITY,California,Napa,55,Angwin (Pacific Union College),"Napa, CA"
06-055-6001,38.2785,-122.27825,2.0,RESIDENTIAL,SUBURBAN,California,Napa,55,Napa,"Napa, CA"
06-057-0001,39.218783,-121.05328200000001,2410.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Nevada,57,Grass Valley,"Truckee-Grass Valley, CA"
06-057-0002,39.267394,-121.00633700000002,777.0,RESIDENTIAL,SUBURBAN,California,Nevada,57,Nevada City,"Truckee-Grass Valley, CA"
06-057-0003,39.116562,-121.042725,503.0,RESIDENTIAL,SUBURBAN,California,Nevada,57,Grass Valley,"Truckee-Grass Valley, CA"
06-057-0004,39.357963,-120.10658600000001,1811.0,RESIDENTIAL,SUBURBAN,California,Nevada,57,Truckee,"Truckee-Grass Valley, CA"
06-057-0005,39.233477,-121.055608,853.0,RESIDENTIAL,SUBURBAN,California,Nevada,57,Grass Valley,"Truckee-Grass Valley, CA"
06-057-0006,39.234061,-121.029948,793.0,MOBILE,SUBURBAN,California,Nevada,57,Grass Valley,"Truckee-Grass Valley, CA"
06-057-0007,39.316555,-120.845475,1302.0,FOREST,RURAL,California,Nevada,57,Not in a City,"Truckee-Grass Valley, CA"
06-057-1001,39.32783,-120.184592,5500.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Nevada,57,Truckee,"Truckee-Grass Valley, CA"
06-057-1002,39.324905,-120.367703,2063.0,FOREST,RURAL,California,Nevada,57,Soda Springs,"Truckee-Grass Valley, CA"
06-059-0001,33.821353,-117.91427,128.0,RESIDENTIAL,SUBURBAN,California,Orange,59,Anaheim,"Los Angeles-Long Beach-Anaheim, CA"
06-059-0002,33.813917,-117.94533,37.0,RESIDENTIAL,SUBURBAN,California,Orange,59,Anaheim,"Los Angeles-Long Beach-Anaheim, CA"
06-059-0004,33.65502,-117.88588999999999,18.0,RESIDENTIAL,SUBURBAN,California,Orange,59,Newport Beach,"Los Angeles-Long Beach-Anaheim, CA"
06-059-0007,33.83062,-117.93845,10.0,RESIDENTIAL,SUBURBAN,California,Orange,59,Anaheim,"Los Angeles-Long Beach-Anaheim, CA"
06-059-0008,33.819305,-117.91875900000001,44.0,MOBILE,URBAN AND CENTER CITY,California,Orange,59,Anaheim,"Los Angeles-Long Beach-Anaheim, CA"
06-059-0101,33.795028,-117.951719,29.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Orange,59,Garden Grove,"Los Angeles-Long Beach-Anaheim, CA"
06-059-0104,33.785028000000004,-117.959775,26.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Orange,59,Garden Grove,"Los Angeles-Long Beach-Anaheim, CA"
06-059-0105,33.775028999999996,-117.91421799999999,27.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Orange,59,Garden Grove,"Los Angeles-Long Beach-Anaheim, CA"
06-059-1001,33.656976,-117.92949499999999,15.0,RESIDENTIAL,SUBURBAN,California,Orange,59,Costa Mesa,"Los Angeles-Long Beach-Anaheim, CA"
06-059-1002,33.656131,-117.930613,25.0,RESIDENTIAL,SUBURBAN,California,Orange,59,Costa Mesa,"Los Angeles-Long Beach-Anaheim, CA"
06-059-1003,33.674640000000004,-117.92568,0.0,RESIDENTIAL,SUBURBAN,California,Orange,59,Costa Mesa,"Los Angeles-Long Beach-Anaheim, CA"
06-059-2001,33.627244,-117.69116299999999,137.0,RESIDENTIAL,SUBURBAN,California,Orange,59,El Toro,"Los Angeles-Long Beach-Anaheim, CA"
06-059-2002,33.753640000000004,-117.96088600000002,5.0,RESIDENTIAL,SUBURBAN,California,Orange,59,Garden Grove,"Los Angeles-Long Beach-Anaheim, CA"
06-059-2022,33.63003,-117.67593000000001,161.0,RESIDENTIAL,SUBURBAN,California,Orange,59,Mission Viejo,"Los Angeles-Long Beach-Anaheim, CA"
06-059-3001,33.78475,-117.946997,37.0,RESIDENTIAL,SUBURBAN,California,Orange,59,Garden Grove,"Los Angeles-Long Beach-Anaheim, CA"
06-059-3002,33.795849,-118.03284,10.0,RESIDENTIAL,SUBURBAN,California,Orange,59,Los Alamitos,"Los Angeles-Long Beach-Anaheim, CA"
06-059-4001,33.545869,-117.78143500000002,12.0,COMMERCIAL,URBAN AND CENTER CITY,California,Orange,59,Laguna Beach,"Los Angeles-Long Beach-Anaheim, CA"
06-059-4002,33.673365000000004,-117.873383,16.0,MOBILE,SUBURBAN,California,Orange,59,Not in a City,"Los Angeles-Long Beach-Anaheim, CA"
06-059-5001,33.925129999999996,-117.95263999999999,82.0,RESIDENTIAL,SUBURBAN,California,Orange,59,La Habra,"Los Angeles-Long Beach-Anaheim, CA"
06-059-6001,33.795849,-118.03284,20.0,COMMERCIAL,SUBURBAN,California,Orange,59,Los Alamitos,"Los Angeles-Long Beach-Anaheim, CA"
06-059-8001,33.750572999999996,-117.870333,63.0,COMMERCIAL,URBAN AND CENTER CITY,California,Orange,59,Santa Ana,"Los Angeles-Long Beach-Anaheim, CA"
06-059-8002,33.831404,-117.919226,45.0,COMMERCIAL,URBAN AND CENTER CITY,California,Orange,59,Anaheim,"Los Angeles-Long Beach-Anaheim, CA"
06-061-0001,38.93712,-121.10939099999999,372.0,AGRICULTURAL,RURAL,California,Placer,61,Auburn,"Sacramento--Roseville--Arden-Arcade, CA"
06-061-0002,38.937670000000004,-121.10492099999999,400.0,MOBILE,SUBURBAN,California,Placer,61,Auburn,"Sacramento--Roseville--Arden-Arcade, CA"
06-061-0003,38.93568,-121.09958999999999,400.0,MOBILE,SUBURBAN,California,Placer,61,Auburn,"Sacramento--Roseville--Arden-Arcade, CA"
06-061-0004,39.100173999999996,-120.953832,768.0,RESIDENTIAL,SUBURBAN,California,Placer,61,Colfax,"Sacramento--Roseville--Arden-Arcade, CA"
06-061-0005,39.166851,-120.145747,1902.0,MOBILE,URBAN AND CENTER CITY,California,Placer,61,Tahoe City,"Sacramento--Roseville--Arden-Arcade, CA"
06-061-0006,38.74643,-121.26498000000001,48.0,MOBILE,SUBURBAN,California,Placer,61,Roseville,"Sacramento--Roseville--Arden-Arcade, CA"
06-061-0007,39.184073,-120.122975,1.0,COMMERCIAL,RURAL,California,Placer,61,Tahoe City,"Sacramento--Roseville--Arden-Arcade, CA"
06-061-0810,38.791845,-121.209116,101.0,RESIDENTIAL,RURAL,California,Placer,61,Rocklin,"Sacramento--Roseville--Arden-Arcade, CA"
06-061-1001,39.182963,-120.11769199999999,2270.0,UNKNOWN,UNKNOWN,California,Placer,61,Tahoe City,"Sacramento--Roseville--Arden-Arcade, CA"
06-061-1002,39.169629,-120.14213600000001,2000.0,MOBILE,URBAN AND CENTER CITY,California,Placer,61,Tahoe City,"Sacramento--Roseville--Arden-Arcade, CA"
06-061-1003,39.101563,-120.967721,2420.0,RESIDENTIAL,SUBURBAN,California,Placer,61,Colfax,"Sacramento--Roseville--Arden-Arcade, CA"
06-061-1004,39.166017,-120.14883300000001,1915.67,COMMERCIAL,URBAN AND CENTER CITY,California,Placer,61,Tahoe City,"Sacramento--Roseville--Arden-Arcade, CA"
06-061-1005,39.210463,-120.206584,1830.0,RESIDENTIAL,RURAL,California,Placer,61,Olympic Valley (Squaw Valley),"Sacramento--Roseville--Arden-Arcade, CA"
06-061-2001,38.889891,-121.307704,112.0,RESIDENTIAL,SUBURBAN,California,Placer,61,Lincoln,"Sacramento--Roseville--Arden-Arcade, CA"
06-061-2002,38.885528,-121.30314399999999,47.0,RESIDENTIAL,SUBURBAN,California,Placer,61,Lincoln,"Sacramento--Roseville--Arden-Arcade, CA"
06-061-2003,38.867937,-121.338353,37.0,AGRICULTURAL,RURAL,California,Placer,61,Lincoln,"Sacramento--Roseville--Arden-Arcade, CA"
06-061-3001,38.788790000000006,-121.217727,75.0,RESIDENTIAL,RURAL,California,Placer,61,Rocklin,"Sacramento--Roseville--Arden-Arcade, CA"
06-063-0002,39.76851,-120.61633,1329.0,RESIDENTIAL,RURAL,California,Plumas,63,Graeagle,
06-063-1001,39.937391999999996,-120.940509,1042.0,MOBILE,URBAN AND CENTER CITY,California,Plumas,63,Quincy,
06-063-1003,39.941559000000005,-120.917732,0.0,RESIDENTIAL,RURAL,California,Plumas,63,Quincy,
06-063-1004,39.933503,-120.943009,0.0,RESIDENTIAL,RURAL,California,Plumas,63,Quincy,
06-063-1006,39.939567,-120.944376,3450.0,COMMERCIAL,URBAN AND CENTER CITY,California,Plumas,63,Quincy,
06-063-1007,40.309644,-121.227848,1403.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Plumas,63,Chester,
06-063-1008,39.791568,-120.472715,1480.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Plumas,63,Portola,
06-063-1009,39.808333000000005,-120.471667,1492.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Plumas,63,Portola,
06-063-1010,39.813359999999996,-120.47068999999999,8.0,RESIDENTIAL,SUBURBAN,California,Plumas,63,Portola,
06-065-0001,33.925865,-116.87613700000001,729.0,COMMERCIAL,URBAN AND CENTER CITY,California,Riverside,65,Banning,"Riverside-San Bernardino-Ontario, CA"
06-065-0002,33.927794,-116.874466,722.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Riverside,65,Banning,"Riverside-San Bernardino-Ontario, CA"
06-065-0003,33.92145,-117.57243999999999,220.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Riverside,65,Norco,"Riverside-San Bernardino-Ontario, CA"
06-065-0004,34.007,-117.521,70.0,RESIDENTIAL,SUBURBAN,California,Riverside,65,Mira Loma,"Riverside-San Bernardino-Ontario, CA"
06-065-0005,33.958348,-117.375878,294.0,AGRICULTURAL,RURAL,California,Riverside,65,Riverside,"Riverside-San Bernardino-Ontario, CA"
06-065-0006,33.491695,-117.146143,341.0,RESIDENTIAL,SUBURBAN,California,Riverside,65,Temecula,"Riverside-San Bernardino-Ontario, CA"
06-065-0007,33.612524,-114.602179,82.0,RESIDENTIAL,SUBURBAN,California,Riverside,65,Blythe,"Riverside-San Bernardino-Ontario, CA"
06-065-0008,33.7411,-115.8206,984.0,DESERT,RURAL,California,Riverside,65,Joshua Tree National Monument,"Riverside-San Bernardino-Ontario, CA"
06-065-0009,33.447866999999995,-117.088649,366.093,RESIDENTIAL,SUBURBAN,California,Riverside,65,Not in a City,"Riverside-San Bernardino-Ontario, CA"
06-065-0010,33.747236,-115.82012399999999,943.0,DESERT,RURAL,California,Riverside,65,Joshua Tree National Monument,"Riverside-San Bernardino-Ontario, CA"
06-065-0012,33.92086,-116.85841,677.0,COMMERCIAL,SUBURBAN,California,Riverside,65,Banning,"Riverside-San Bernardino-Ontario, CA"
06-065-0016,33.583018,-117.072202,453.0,COMMERCIAL,SUBURBAN,California,Riverside,65,Not in a City,"Riverside-San Bernardino-Ontario, CA"
06-065-0101,33.980028000000004,-117.365873,238.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Riverside,65,Riverside,"Riverside-San Bernardino-Ontario, CA"
06-065-0500,33.71969,-116.1897,-8.0,COMMERCIAL,RURAL,California,Riverside,65,Indio,"Riverside-San Bernardino-Ontario, CA"
06-065-1001,33.872807,-117.566433,219.0,COMMERCIAL,URBAN AND CENTER CITY,California,Riverside,65,Corona,"Riverside-San Bernardino-Ontario, CA"
06-065-1002,33.741688,-116.95918999999999,469.0,MOBILE,SUBURBAN,California,Riverside,65,Hemet,"Riverside-San Bernardino-Ontario, CA"
06-065-1003,33.94603,-117.40063,249.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Riverside,65,Riverside,"Riverside-San Bernardino-Ontario, CA"
06-065-1004,33.9397,-115.4108,326.0,DESERT,RURAL,California,Riverside,65,Joshua Tree National Monument,"Riverside-San Bernardino-Ontario, CA"
06-065-1010,33.590833,-116.088333,10.0,INDUSTRIAL,RURAL,California,Riverside,65,Not in a City,"Riverside-San Bernardino-Ontario, CA"
06-065-1016,33.944713,-116.830074,720.0,COMMERCIAL,RURAL,California,Riverside,65,Banning,"Riverside-San Bernardino-Ontario, CA"
06-065-1999,33.56125,-116.153383,10.0,AGRICULTURAL,RURAL,California,Riverside,65,Torres-Martinez I.R.,"Riverside-San Bernardino-Ontario, CA"
06-065-2001,33.741688,-116.95918999999999,469.0,RESIDENTIAL,RURAL,California,Riverside,65,Hemet,"Riverside-San Bernardino-Ontario, CA"
06-065-2002,33.708529999999996,-116.21537,0.0,,RURAL,California,Riverside,65,Indio,"Riverside-San Bernardino-Ontario, CA"
06-065-2003,33.605833000000004,-116.091944,-8.0,AGRICULTURAL,RURAL,California,Riverside,65,Not in a City,"Riverside-San Bernardino-Ontario, CA"
06-065-2005,33.572019,-116.063823,-11.0,AGRICULTURAL,SUBURBAN,California,Riverside,65,Mecca,"Riverside-San Bernardino-Ontario, CA"
06-065-3001,33.708355,-116.22111799999999,5.0,COMMERCIAL,URBAN AND CENTER CITY,California,Riverside,65,Indio,"Riverside-San Bernardino-Ontario, CA"
06-065-3002,33.930571,-117.564217,220.0,RESIDENTIAL,SUBURBAN,California,Riverside,65,Norco,"Riverside-San Bernardino-Ontario, CA"
06-065-3011,33.796533000000004,-116.97441699999999,459.0,RESIDENTIAL,RURAL,California,Riverside,65,San Jacinto,"Riverside-San Bernardino-Ontario, CA"
06-065-3012,33.76485,-116.9569,471.0,AGRICULTURAL,RURAL,California,Riverside,65,San Jacinto,"Riverside-San Bernardino-Ontario, CA"
06-065-4001,33.948916,-117.59476699999999,187.0,AGRICULTURAL,RURAL,California,Riverside,65,Not in a City,"Riverside-San Bernardino-Ontario, CA"
06-065-5001,33.85275,-116.54101000000001,171.0,RESIDENTIAL,SUBURBAN,California,Riverside,65,Palm Springs,"Riverside-San Bernardino-Ontario, CA"
06-065-6001,33.78942,-117.22764,439.0,COMMERCIAL,URBAN AND CENTER CITY,California,Riverside,65,Perris,"Riverside-San Bernardino-Ontario, CA"
06-065-7001,33.961971000000005,-117.457819,244.0,COMMERCIAL,URBAN AND CENTER CITY,California,Riverside,65,Riverside,"Riverside-San Bernardino-Ontario, CA"
06-065-8001,33.99958,-117.41601000000001,250.0,RESIDENTIAL,SUBURBAN,California,Riverside,65,Rubidoux,"Riverside-San Bernardino-Ontario, CA"
06-065-8005,33.996359999999996,-117.4924,250.0,RESIDENTIAL,SUBURBAN,California,Riverside,65,Mira Loma,"Riverside-San Bernardino-Ontario, CA"
06-065-9000,33.463644,-116.971457,508.0,FOREST,RURAL,California,Riverside,65,Not in a City,"Riverside-San Bernardino-Ontario, CA"
06-065-9001,33.67649,-117.33098000000001,1440.0,RESIDENTIAL,SUBURBAN,California,Riverside,65,Lake Elsinore,"Riverside-San Bernardino-Ontario, CA"
06-065-9002,34.018056,-116.189444,1265.0,DESERT,RURAL,California,Riverside,65,Joshua Tree National Monument,"Riverside-San Bernardino-Ontario, CA"
06-065-9003,33.61235,-114.60208999999999,83.8,RESIDENTIAL,SUBURBAN,California,Riverside,65,Blythe,"Riverside-San Bernardino-Ontario, CA"
06-067-0001,38.667126,-121.25133799999999,52.0,RESIDENTIAL,SUBURBAN,California,Sacramento,67,Citrus Heights,"Sacramento--Roseville--Arden-Arcade, CA"
06-067-0002,38.71209,-121.38108999999999,8.0,RESIDENTIAL,SUBURBAN,California,Sacramento,67,Not in a City,"Sacramento--Roseville--Arden-Arcade, CA"
06-067-0003,38.585183,-121.494677,29.0,MOBILE,URBAN AND CENTER CITY,California,Sacramento,67,Sacramento,"Sacramento--Roseville--Arden-Arcade, CA"
06-067-0004,38.573238,-121.496344,6.0,COMMERCIAL,URBAN AND CENTER CITY,California,Sacramento,67,Sacramento,"Sacramento--Roseville--Arden-Arcade, CA"
06-067-0005,38.480464000000005,-121.474398,12.0,RESIDENTIAL,SUBURBAN,California,Sacramento,67,Sacramento,"Sacramento--Roseville--Arden-Arcade, CA"
06-067-0006,38.613779,-121.36801399999999,8.0,RESIDENTIAL,SUBURBAN,California,Sacramento,67,Arden-Arcade,"Sacramento--Roseville--Arden-Arcade, CA"
06-067-0007,38.609905,-121.38106299999998,5.0,COMMERCIAL,SUBURBAN,California,Sacramento,67,Sacramento,"Sacramento--Roseville--Arden-Arcade, CA"
06-067-0010,38.56844,-121.49311000000002,0.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Sacramento,67,Sacramento,"Sacramento--Roseville--Arden-Arcade, CA"
06-067-0011,38.302591,-121.42083799999999,6.0,AGRICULTURAL,RURAL,California,Sacramento,67,Not in a City,"Sacramento--Roseville--Arden-Arcade, CA"
06-067-0012,38.683304,-121.16445700000001,98.0,RESIDENTIAL,SUBURBAN,California,Sacramento,67,Folsom,"Sacramento--Roseville--Arden-Arcade, CA"
06-067-0013,38.636848,-121.5144,5.0,COMMERCIAL,SUBURBAN,California,Sacramento,67,Sacramento,"Sacramento--Roseville--Arden-Arcade, CA"
06-067-0014,38.650783000000004,-121.506767,3.0,COMMERCIAL,SUBURBAN,California,Sacramento,67,Sacramento,"Sacramento--Roseville--Arden-Arcade, CA"
06-067-0015,38.593322,-121.503795,12.8,COMMERCIAL,URBAN AND CENTER CITY,California,Sacramento,67,Sacramento,"Sacramento--Roseville--Arden-Arcade, CA"
06-067-0283,38.553517,-121.33717299999999,20.0,RESIDENTIAL,SUBURBAN,California,Sacramento,67,Sacramento,"Sacramento--Roseville--Arden-Arcade, CA"
06-067-0284,38.551388,-121.336666,21.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Sacramento,67,Sacramento,"Sacramento--Roseville--Arden-Arcade, CA"
06-067-1001,38.674904,-121.18689199999999,57.0,COMMERCIAL,SUBURBAN,California,Sacramento,67,Folsom,"Sacramento--Roseville--Arden-Arcade, CA"
